State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
"Andhra Pradesh",Chittor,Punganur,Tomato,Hybrid,FAQ,17/07/2025,1640,2140,1970
"Andhra Pradesh","East Godavari",Ambajipeta,Banana,"Banana - Ripe",Medium,17/07/2025,880,1840,1360
"Andhra Pradesh","East Godavari",Ravulapelem,Banana,Bhushavali(Pacha),Large,17/07/2025,1500,1900,1700
"Andhra Pradesh","East Godavari",Ravulapelem,Banana,Karpura,Large,17/07/2025,1000,1600,1400
"Andhra Pradesh",Krishna,Tiruvuru,Maize,Hybrid/Local,Non-FAQ,17/07/2025,2200,2250,2225
"Andhra Pradesh",Krishna,Tiruvuru,Rice,Fine,FAQ,17/07/2025,4300,4500,4400
Bihar,Madhubani,Jainagar,Wheat,Bansi,FAQ,17/07/2025,2600,2800,2700
Bihar,Rohtas,Natwar,Potato,Jyoti,FAQ,17/07/2025,1200,1400,1300
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Cucumbar(Kheera),Other,FAQ,17/07/2025,1500,3000,2500
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Ginger(Green),Other,FAQ,17/07/2025,3000,4500,4000
Gujarat,Amreli,Bagasara,"Arhar (Tur/Red Gram)(Whole)","777 New Ind",Non-FAQ,17/07/2025,6000,6200,6100
Gujarat,Amreli,Bagasara,"Bajra(Pearl Millet/Cumbu)",Other,Non-FAQ,17/07/2025,2500,2515,2507
Gujarat,Amreli,Bagasara,Groundnut,Balli/Habbu,Non-FAQ,17/07/2025,4500,4975,4737
Gujarat,Amreli,Damnagar,Brinjal,Other,FAQ,17/07/2025,2850,4550,3400
Gujarat,Amreli,Damnagar,Cauliflower,Cauliflower,FAQ,17/07/2025,5000,6050,5550
Gujarat,Amreli,Damnagar,Guar,Gwar,FAQ,17/07/2025,9250,10500,9700
Gujarat,Amreli,Savarkundla,"Bajra(Pearl Millet/Cumbu)",Deshi,FAQ,17/07/2025,1650,2580,2125
Gujarat,Amreli,Savarkundla,"Bengal Gram(Gram)(Whole)","Average (Whole)",FAQ,17/07/2025,5500,5800,5650
Gujarat,Amreli,Savarkundla,"Castor Seed","Castor seed",FAQ,17/07/2025,6000,6405,6200
Gujarat,Amreli,Savarkundla,"Sesamum(Sesame,Gingelly,Til)",White,FAQ,17/07/2025,7500,9335,8755
Gujarat,Anand,"Khambhat(Veg Yard Khambhat)",Banana,Amruthapani,Medium,17/07/2025,2000,2100,2100
Gujarat,Anand,"Khambhat(Veg Yard Khambhat)","Bottle gourd","Bottle Gourd",FAQ,17/07/2025,1200,2000,1700
Gujarat,Anand,"Khambhat(Veg Yard Khambhat)",Onion,Other,FAQ,17/07/2025,1300,2200,1700
Gujarat,Anand,"Khambhat(Veg Yard Khambhat)",Potato,Other,FAQ,17/07/2025,1200,1800,1600
Gujarat,Banaskanth,Vadgam,"Bajra(Pearl Millet/Cumbu)",Other,Non-FAQ,17/07/2025,1000,1425,1325
Gujarat,Bharuch,Jambusar,"Bajra(Pearl Millet/Cumbu)",Other,FAQ,17/07/2025,2300,2700,2500
Gujarat,"Chhota Udaipur",Bodeliu,Cotton,"Shanker 6 (B) 30mm FIne",FAQ,17/07/2025,6800,7021,6915
Gujarat,Dahod,Devgadhbaria,Paddy(Dhan)(Common),Common,Non-FAQ,17/07/2025,1500,1530,1515
Gujarat,Gandhinagar,Kalol,"Castor Seed",Other,FAQ,17/07/2025,6530,6575,6550
Gujarat,Gandhinagar,"Mansa(Manas Veg Yard)","Bhindi(Ladies Finger)",Other,FAQ,17/07/2025,3000,4000,4000
Gujarat,Gandhinagar,"Mansa(Manas Veg Yard)","Green Chilli",Other,FAQ,17/07/2025,6000,8000,6000
Gujarat,Gandhinagar,"Mansa(Manas Veg Yard)",Lemon,Other,FAQ,17/07/2025,2500,2500,2500
Gujarat,"Gir Somnath",Veraval,"Green Gram (Moong)(Whole)",Other,FAQ,17/07/2025,5525,7505,6505
Gujarat,"Gir Somnath",Veraval,Wheat,"Medium Fine",FAQ,17/07/2025,2325,2655,2525
Gujarat,Jamnagar,Dhrol,"Cummin Seed(Jeera)",Other,FAQ,17/07/2025,12525,16450,14490
Gujarat,Jamnagar,Kalawad,Groundnut,Other,FAQ,17/07/2025,4750,5125,4980
Gujarat,Morbi,Halvad,"Corriander seed",Other,FAQ,17/07/2025,6000,7130,7050
Gujarat,Navsari,Bilimora,"Green Chilli",Other,FAQ,17/07/2025,7500,8500,8000
Gujarat,Navsari,Navsari,Banana,Amruthapani,Medium,17/07/2025,1500,2500,2000
Gujarat,Navsari,Navsari,"Bhindi(Ladies Finger)",Bhindi,FAQ,17/07/2025,2500,3000,2750
Gujarat,Navsari,Navsari,"Green Chilli","Green Chilly",FAQ,17/07/2025,4000,6500,5250
Gujarat,Navsari,Navsari,Methi(Leaves),Methi,FAQ,17/07/2025,3500,4000,3750
Gujarat,Rajkot,Dhoraji,"Cummin Seed(Jeera)",Medium,FAQ,17/07/2025,17230,17230,17230
Gujarat,Rajkot,"Gondal(Veg.market Gondal)",Brinjal,Brinjal,FAQ,17/07/2025,500,2500,1500
Gujarat,Surat,Surat,"Banana - Green",Other,FAQ,17/07/2025,800,2000,1400
Gujarat,Surat,Surat,Beetroot,Other,FAQ,17/07/2025,1000,2300,1650
Gujarat,Surat,Surat,Drumstick,Other,FAQ,17/07/2025,3000,6000,4500
Gujarat,Surat,Surat,"Little gourd (Kundru)",Other,FAQ,17/07/2025,6000,7500,6750
Gujarat,Surat,Surat,Onion,Other,FAQ,17/07/2025,650,2050,1350
Gujarat,Surat,Surat,Pumpkin,Other,FAQ,17/07/2025,800,2000,1400
Gujarat,Surat,Surat,"Turmeric (raw)",Other,FAQ,17/07/2025,6000,18000,12000
Gujarat,Vadodara(Baroda),Padra,"Kartali (Kantola)",Other,FAQ,17/07/2025,16000,17500,16750
Gujarat,Vadodara(Baroda),Padra,"Little gourd (Kundru)",Other,FAQ,17/07/2025,1500,2750,2150
Gujarat,Vadodara(Baroda),Padra,"Pointed gourd (Parval)",Other,FAQ,17/07/2025,4500,4750,4625
Gujarat,Vadodara(Baroda),Padra,Spinach,Other,FAQ,17/07/2025,2500,3000,2750
Gujarat,Vadodara(Baroda),Padra,"Sponge gourd",Other,FAQ,17/07/2025,1250,1500,1400
Gujarat,Valsad,Chikli(Khorgam),"Bitter gourd",Other,FAQ,17/07/2025,4000,5000,4500
Haryana,Fatehabad,Fatehabad,Mango,Other,Large,17/07/2025,5500,5500,5500
Haryana,Fatehabad,Fatehabad,Onion,Other,FAQ,17/07/2025,2000,3000,2500
Haryana,Gurgaon,"Farukh Nagar",Onion,Other,FAQ,17/07/2025,1600,1900,1600
Haryana,Gurgaon,Gurgaon,"Bhindi(Ladies Finger)",Other,FAQ,17/07/2025,2000,3000,2500
Haryana,Gurgaon,Gurgaon,Carrot,Other,FAQ,17/07/2025,1000,2000,1500
Haryana,Gurgaon,Gurgaon,Pomegranate,Other,Large,17/07/2025,5000,10000,7500
Haryana,Gurgaon,Gurgaon,Tomato,Other,FAQ,17/07/2025,1000,2000,1500
Haryana,Hissar,Barwala(Hisar),"Bottle gourd",Other,FAQ,17/07/2025,1400,2000,1800
Haryana,Hissar,Hansi,Onion,Other,Non-FAQ,17/07/2025,1500,2000,1800
Haryana,Jhajar,Bahadurgarh,Banana,Other,Medium,17/07/2025,2500,3000,2800
Haryana,Jhajar,Bahadurgarh,"Bitter gourd",Other,FAQ,17/07/2025,3500,5000,4500
Haryana,Jhajar,Bahadurgarh,Cauliflower,Other,FAQ,17/07/2025,3000,8000,5000
Haryana,Jhajar,Bahadurgarh,Ginger(Green),Other,FAQ,17/07/2025,5500,6000,5800
Haryana,Jhajar,Bahadurgarh,Onion,Other,Non-FAQ,17/07/2025,1000,1500,1200
Haryana,Jhajar,Bahadurgarh,Potato,Other,Non-FAQ,17/07/2025,1000,1300,1200
Haryana,Jhajar,Bahadurgarh,Tomato,Other,Non-FAQ,17/07/2025,1400,3500,2500
Haryana,Jind,Jind,Onion,Other,FAQ,17/07/2025,1000,1500,1200
Haryana,Jind,Jind,Tomato,Other,FAQ,17/07/2025,2100,3000,2400
Haryana,Karnal,Indri,Banana,Other,Medium,17/07/2025,2500,3000,2500
Haryana,Karnal,Indri,Tomato,Other,FAQ,17/07/2025,2000,2000,2000
Haryana,Kurukshetra,Ladwa,Brinjal,Round/Long,FAQ,17/07/2025,2000,3000,2000
Haryana,Kurukshetra,Ladwa,"Leafy Vegetable","Leafy Vegetables",FAQ,17/07/2025,3500,3500,3500
Haryana,Kurukshetra,Ladwa,Mango,Dusheri,Medium,17/07/2025,1400,3000,2000
Haryana,Kurukshetra,Ladwa,"Peas Wet","Peas Wet",FAQ,17/07/2025,6000,6000,6000
Haryana,Kurukshetra,Ladwa,Pineapple,"Pine Apple",Medium,17/07/2025,2000,3000,2000
Haryana,Kurukshetra,Pehowa,Onion,Other,FAQ,17/07/2025,1500,1650,1600
Haryana,Kurukshetra,Pehowa,Tomato,Other,FAQ,17/07/2025,1420,1650,1500
Haryana,Mahendragarh-Narnaul,Narnaul,Cabbage,Cabbage,FAQ,17/07/2025,2000,2500,2500
Haryana,Mahendragarh-Narnaul,Narnaul,Ginger(Green),"Green Ginger",FAQ,17/07/2025,3500,4000,4000
Haryana,Mewat,Punhana,"Green Chilli",Other,FAQ,17/07/2025,7000,8000,7500
Haryana,Palwal,Hassanpur,Potato,Potato,Non-FAQ,17/07/2025,1200,1200,1200
Haryana,Panipat,Panipat,Brinjal,"Arkasheela Mattigulla",FAQ,17/07/2025,800,2400,1600
Haryana,Panipat,Panipat,Cabbage,Other,FAQ,17/07/2025,400,1000,700
Haryana,Panipat,Samalkha,Cauliflower,Cauliflower,FAQ,17/07/2025,2500,2500,2500
Haryana,Panipat,Samalkha,Ginger(Dry),Other,FAQ,17/07/2025,6000,6000,6000
Haryana,Rewari,Kosli,"Bottle gourd","Bottle Gourd",FAQ,17/07/2025,1000,1000,1000
Haryana,Rohtak,Meham,"Papaya (Raw)",Other,FAQ,17/07/2025,2500,3000,2800
Haryana,Rohtak,Meham,Ridgeguard(Tori),Ridgeguard(Tori),FAQ,17/07/2025,1400,2000,1500
Haryana,Sonipat,Ganaur,"Bottle gourd","Bottle Gourd",FAQ,17/07/2025,2400,2500,2400
Haryana,Sonipat,Ganaur,Garlic,Average,FAQ,17/07/2025,6000,10000,8000
Haryana,Sonipat,Ganaur,Tomato,Tomato,FAQ,17/07/2025,2500,3000,2800
"Himachal Pradesh",Hamirpur,Hamirpur,"Bhindi(Ladies Finger)",Other,FAQ,17/07/2025,4500,5000,4700
"Himachal Pradesh",Hamirpur,Hamirpur,Brinjal,Other,FAQ,17/07/2025,4500,5000,4800
"Himachal Pradesh",Hamirpur,Hamirpur,Pear(Marasebu),Other,Medium,17/07/2025,7000,8500,7700
"Himachal Pradesh",Hamirpur,Hamirpur,"Peas Wet",Other,FAQ,17/07/2025,11000,12000,11500
"Himachal Pradesh",Hamirpur,Hamirpur(Nadaun),Mango,Dusheri,Medium,17/07/2025,3500,4500,4000
"Himachal Pradesh",Hamirpur,Hamirpur(Nadaun),Pomegranate,Other,Medium,17/07/2025,16000,18000,17000
"Himachal Pradesh",Hamirpur,Hamirpur(Nadaun),Tomato,Other,FAQ,17/07/2025,3000,4200,3600
